NU_ANO_CENSO,NO_REGIAO_IES,CO_REGIAO_IES,NO_UF_IES,SG_UF_IES,CO_UF_IES,NO_MUNICIPIO_IES,CO_MUNICIPIO_IES,IN_CAPITAL_IES,NO_MESORREGIAO_IES,CO_MESORREGIAO_IES,NO_MICRORREGIAO_IES,CO_MICRORREGIAO_IES,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,NO_MANTENEDORA,CO_MANTENEDORA,CO_IES,NO_IES,SG_IES,DS_ENDERECO_IES,DS_NUMERO_ENDERECO_IES,DS_COMPLEMENTO_ENDERECO_IES,NO_BAIRRO_IES,NU_CEP_IES,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_OUTRAS_BASES,IN_ASSINA_OUTRA_BASE,IN_REPOSITORIO_INSTITUCIONAL,IN_BUSCA_INTEGRADA,IN_SERVICO_INTERNET,IN_PARTICIPA_REDE_SOCIAL,IN_CATALOGO_ONLINE,QT_PERIODICO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
2022,Sudeste,3,Minas Gerais,MG,31,Ouro Preto,3146107,0,Metropolitana de Belo Horizonte,7,Ouro Preto,33,1,1,UNIVERSIDADE FEDERAL DE OURO PRETO,6,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Rua Diogo de Vasconcelos,122,-,Centro,35400000.0,677,3,20,1,10,47,16,37,75,92,114,115,93,31,23,1,0,1,1,1,1,1,1,29968,28762,905,836,336,500,0,3,14,76,743,830,778,52,6,0,1,40,182,195,134,102,108,74,408,23,148,5,2,250,834,2,2
2022,Sudeste,3,São Paulo,SP,35,São Carlos,3548906,0,Araraquara,5,São Carlos,25,1,1,FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS,1302,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Via Washington  Luis,Km 235,S/Nº,Monjolinho,13565905.0,948,13,21,8,10,7,47,68,83,162,148,147,112,69,53,1,0,1,1,0,1,1,1,49000,461889,1353,1353,606,747,0,1,3,48,1301,1298,1272,26,55,0,2,50,163,282,229,203,180,244,788,13,76,29,2,445,1324,29,8
2022,Sudeste,3,Minas Gerais,MG,31,Viçosa,3171303,0,Zona da Mata,12,Viçosa,62,1,1,UNIVERSIDADE FEDERAL DE VICOSA,15588,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Av. P.H. Rolfs,s/n,Campus Universitário,Campus Universitário,36570000.0,2002,8,88,0,25,16,264,107,170,313,488,210,183,73,57,1,0,1,1,0,1,1,1,0,84982,1307,1307,533,774,0,12,23,126,1146,1254,1171,83,53,0,36,112,232,281,189,116,173,168,443,27,106,6,2,723,1282,25,0
2022,Sudeste,3,Rio de Janeiro,RJ,33,Petrópolis,3303906,0,Metropolitana do Rio de Janeiro,6,Serrana,15,1,5,ASSOCIACAO FACULDADES CATOLICAS PETROPOLITANAS,15046,15,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Rua Benjamin Constant,213,-,Centro,25610130.0,242,4,14,9,29,58,58,33,22,7,2,2,3,1,0,1,0,0,0,1,1,0,1,0,27262,167,167,65,102,0,0,4,91,72,55,0,55,37,75,0,5,25,29,32,21,21,34,150,3,14,0,0,0,164,3,3
2022,Sudeste,3,Minas Gerais,MG,31,Uberlândia,3170206,0,Triângulo Mineiro/Alto Paranaíba,5,Uberlândia,18,1,1,UNIVERSIDADE FEDERAL DE UBERLANDIA,9140,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Avenida João Naves de Ávila,2121,-,Santa Mônica,38400902.0,2006,4,32,6,18,183,173,182,153,372,325,232,166,97,63,1,0,1,1,1,1,1,1,409,467356,1913,1855,805,1050,0,12,17,119,1707,1836,1667,169,19,0,26,107,292,402,344,252,224,208,1461,46,214,37,1,96,1827,28,17
2022,Sudeste,3,São Paulo,SP,35,Campinas,3509502,0,Campinas,7,Campinas,32,1,5,SOCIEDADE CAMPINEIRA DE EDUCACAO E INSTRUCAO,19,19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Rua Professor Doutor Euryclides de Jesus Zerbini,1516,Gleba 1 - QT. 06422 (PUC - Dom Pedro),Parque Rural Fazenda Santa Cândida,13087571.0,711,5,8,5,4,159,133,205,118,42,17,3,10,1,1,1,0,1,1,1,1,1,1,1527,21860,794,777,366,411,0,0,110,237,430,267,0,267,173,337,8,34,86,120,103,126,97,203,361,1,3,2,0,410,769,8,2
2022,Sudeste,3,São Paulo,SP,35,São Paulo,3550308,1,Metropolitana de São Paulo,15,São Paulo,61,1,5,INSTITUTO PRESBITERIANO MACKENZIE,22,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Rua da Consolação,896,Campus São Paulo,Consolação,1302907.0,2156,13,41,24,42,460,526,389,258,195,93,39,53,6,17,1,0,1,1,0,1,1,1,84973,29672,1094,1094,410,684,0,0,7,295,792,474,0,474,422,198,6,48,83,147,187,168,185,270,923,16,110,39,1,5,1060,34,27
2022,Sudeste,3,Rio de Janeiro,RJ,33,Rio de Janeiro,3304557,1,Metropolitana do Rio de Janeiro,6,Rio de Janeiro,18,3,1,FUNDACAO INSTIT BRAS DE GEOGRAFIA E ESTATISTICA IBGE,26,26,ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS,ENCE,Rua André Cavalcanti,106,-,Santa Teresa,20231050.0,80,0,0,0,0,1,6,3,1,11,7,5,8,19,19,1,0,0,1,1,1,0,1,44,1,35,35,16,19,0,0,0,5,30,35,0,35,0,0,0,1,7,6,7,4,5,5,21,1,5,1,1,6,35,0,1
2022,Sudeste,3,Minas Gerais,MG,31,Três Corações,3169307,0,Sul/Sudoeste de Minas,10,Varginha,50,2,5,FUNDACAO COMUNITARIA TRICORDIANA DE EDUCACAO,27,27,Centro Universitário Vale do Rio Verde,,Avenida Castelo Branco,82,-,Chacara das Rosas,37417150.0,83,3,4,2,3,21,12,16,7,8,3,2,1,0,1,1,0,0,1,0,1,0,1,0,12979,190,186,79,107,0,0,41,98,47,49,0,49,74,63,12,27,28,37,35,18,18,11,131,4,48,1,0,2,186,0,0
2022,Sudeste,3,Minas Gerais,MG,31,Alfenas,3101607,0,Sul/Sudoeste de Minas,10,Alfenas,49,1,5,FUNDACAO DE ENSINO E TECNOLOGIA DE ALFENAS,30,30,Professor Edson Antônio Velano,UNIFENAS,Rod Rodovia MG-179,s/n,Campus Universitário,Loteamento Trevo,37132440.0,668,2,9,13,37,148,167,87,72,50,39,14,15,7,8,1,0,1,1,1,1,0,1,0,12320,574,574,304,270,0,0,175,224,175,222,0,222,250,102,12,85,96,94,97,73,64,53,86,1,11,0,1,475,574,0,0
