NU_ANO_CENSO,NO_REGIAO_IES,CO_REGIAO_IES,NO_UF_IES,SG_UF_IES,CO_UF_IES,NO_MUNICIPIO_IES,CO_MUNICIPIO_IES,IN_CAPITAL_IES,NO_MESORREGIAO_IES,CO_MESORREGIAO_IES,NO_MICRORREGIAO_IES,CO_MICRORREGIAO_IES,TP_ORGANIZACAO_ACADEMICA,TP_REDE,TP_CATEGORIA_ADMINISTRATIVA,IN_COMUNITARIA,IN_CONFESSIONAL,NO_MANTENEDORA,CO_MANTENEDORA,CO_IES,NO_IES,SG_IES,DS_ENDERECO_IES,DS_NUMERO_ENDERECO_IES,DS_COMPLEMENTO_ENDERECO_IES,NO_BAIRRO_IES,NU_CEP_IES,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_OUTRAS_BASES,IN_ASSINA_OUTRA_BASE,IN_REPOSITORIO_INSTITUCIONAL,IN_BUSCA_INTEGRADA,IN_SERVICO_INTERNET,IN_PARTICIPA_REDE_SOCIAL,IN_CATALOGO_ONLINE,QT_PERIODICO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
2024,Sudeste,3,Minas Gerais,MG,31,Ouro Preto,3146107,0,Metropolitana de Belo Horizonte,7,Ouro Preto,33,1,1,1,0,0,UNIVERSIDADE FEDERAL DE OURO PRETO,6,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Rua Diogo de Vasconcelos,122,-,Centro,35400000.0,729,4,24,2,26,18,55,37,66,91,119,113,99,47,28,1,0,1,1,0,1,1,1,60,28969,885,885,359,526,0,0,14,76,795,873,818,55,12,0,0,36,131,212,190,101,107,108,435,25,176,5,3,241,884,1,0
2024,Sudeste,3,São Paulo,SP,35,São Carlos,3548906,0,Araraquara,5,São Carlos,25,1,1,1,0,0,FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS,1302,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Via Washington  Luis,Km 235,S/Nº,Monjolinho,13565905.0,957,10,19,7,9,6,36,53,72,180,165,143,106,84,67,1,0,1,1,0,1,1,1,49000,461889,1356,1356,605,751,0,0,3,56,1297,1269,1247,22,87,0,0,27,117,271,264,210,182,285,825,14,76,32,0,409,1328,28,9
2024,Sudeste,3,Minas Gerais,MG,31,Viçosa,3171303,0,Zona da Mata,12,Viçosa,62,1,1,1,0,0,UNIVERSIDADE FEDERAL DE VICOSA,15588,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Av. P.H. Rolfs,s/n,Campus Universitário,Campus Universitário,36570000.0,1899,4,57,0,13,12,205,89,141,271,516,246,196,86,63,1,0,1,1,0,1,1,1,0,89170,1307,1307,533,774,0,8,20,101,1178,1264,1201,63,43,0,23,97,199,281,231,142,139,195,991,23,260,14,3,16,1281,26,0
2024,Sudeste,3,Rio de Janeiro,RJ,33,Petrópolis,3303906,0,Metropolitana do Rio de Janeiro,6,Serrana,15,1,2,5,1,1,ASSOCIACAO FACULDADES CATOLICAS PETROPOLITANAS,15046,15,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Rua Benjamin Constant,213,Unidade SEDE,Centro,25610130.0,225,4,23,3,20,47,59,31,23,5,3,3,3,1,0,1,0,1,0,1,1,1,1,0,35328,151,151,59,92,0,0,2,75,74,50,0,50,48,53,1,5,17,19,30,23,21,35,140,3,8,0,0,0,150,1,4
2024,Sudeste,3,Minas Gerais,MG,31,Uberlândia,3170206,0,Triângulo Mineiro/Alto Paranaíba,5,Uberlândia,18,1,1,1,0,0,UNIVERSIDADE FEDERAL DE UBERLANDIA,9140,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Avenida João Naves de Ávila,2121,-,Santa Mônica,38400902.0,1995,2,27,6,19,220,156,129,112,383,310,251,182,121,77,1,0,1,1,1,1,1,1,445,522676,1929,1929,850,1079,0,13,20,125,1771,1902,1690,212,27,0,22,101,270,388,385,297,220,246,1482,49,294,43,1,60,1900,29,15
2024,Sudeste,3,São Paulo,SP,35,Campinas,3509502,0,Campinas,7,Campinas,32,1,2,5,1,1,SOCIEDADE CAMPINEIRA DE EDUCACAO E INSTRUCAO,19,19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Rua Professor Doutor Euryclides de Jesus Zerbini,1516,Gleba 1 - QT. 06422 (PUC - Dom Pedro),Parque Rural Fazenda Santa Cândida,13087571.0,609,3,6,2,3,139,113,177,88,44,20,1,9,3,1,1,0,1,1,1,1,1,1,1888,26769,777,777,367,410,0,0,107,234,436,265,0,265,218,294,5,41,67,116,123,113,107,205,752,6,9,7,1,2,767,10,4
2024,Sudeste,3,São Paulo,SP,35,São Paulo,3550308,1,Metropolitana de São Paulo,15,São Paulo,61,1,2,5,1,1,INSTITUTO PRESBITERIANO MACKENZIE,22,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Rua da Consolação,896,Campus São Paulo,Consolação,1302907.0,663,3,1,4,1,128,137,160,85,71,23,19,22,2,7,1,0,1,1,0,1,1,1,74584,32837,1188,1188,450,738,0,0,8,285,895,493,0,493,548,147,5,45,109,130,221,178,189,311,985,18,110,36,1,38,1154,34,31
2024,Sudeste,3,Rio de Janeiro,RJ,33,Rio de Janeiro,3304557,1,Metropolitana do Rio de Janeiro,6,Rio de Janeiro,18,3,1,1,0,0,FUNDACAO INSTIT BRAS DE GEOGRAFIA E ESTATISTICA IBGE,26,26,ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS,ENCE,Rua André Cavalcanti,106,-,Santa Teresa,20231050.0,36,0,0,0,0,2,5,1,3,10,7,3,2,0,3,1,0,1,1,1,1,1,1,50,3,37,37,18,19,0,0,0,8,29,32,0,32,4,1,0,0,3,8,8,11,3,4,26,1,4,1,1,4,37,0,0
2024,Sudeste,3,Minas Gerais,MG,31,Três Corações,3169307,0,Sul/Sudoeste de Minas,10,Varginha,50,2,2,5,0,0,FUNDACAO COMUNITARIA TRICORDIANA DE EDUCACAO EM RECUPERACAO JUDICIAL,27,27,Centro Universitário UninCor,UninCor,Avenida Castelo Branco,82,-,Chacara das Rosas,37417150.0,113,2,8,1,1,21,19,20,10,12,6,3,7,1,2,1,0,0,1,1,1,0,0,71051,28787,132,132,53,79,0,0,36,64,32,33,0,33,8,91,8,16,16,26,21,17,17,11,86,3,41,1,0,1,132,0,0
2024,Sudeste,3,Minas Gerais,MG,31,Alfenas,3101607,0,Sul/Sudoeste de Minas,10,Alfenas,49,1,2,5,0,0,FUNDACAO DE ENSINO E TECNOLOGIA DE ALFENAS,30,30,UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO,UNIFENAS,Rod Rodovia MG-179,s/n,Campus Universitário,Loteamento Trevo,37132440.0,674,26,61,44,40,125,140,71,55,37,30,11,15,10,9,1,0,1,1,1,1,0,1,0,13368,442,442,247,195,0,0,108,181,153,192,0,192,186,64,9,57,70,68,84,60,54,40,97,1,23,0,0,321,442,0,2
