no_ies,grau_academico,tp_rede,n_matricula
UNIVERSIDADE PAULISTA,Bacharelado,Privada,133306
UNIVERSIDADE NOVE DE JULHO,Bacharelado,Privada,90794
UNIVERSIDADE ANHEMBI MORUMBI,Bacharelado,Privada,49809
UNIVERSIDADE CRUZEIRO DO SUL,Bacharelado,Privada,41689
UNIVERSIDADE PAULISTA,Tecnológico,Privada,39266
UNIVERSIDADE ANHEMBI MORUMBI,Tecnológico,Privada,33522
UNIVERSIDADE NOVE DE JULHO,Tecnológico,Privada,32190
UNIVERSIDADE PRESBITERIANA MACKENZIE,Bacharelado,Privada,23697
UNIVERSIDADE PAULISTA,Licenciatura,Privada,21269
UNIVERSIDADE NOVE DE JULHO,Licenciatura,Privada,19715
UNIVERSIDADE CRUZEIRO DO SUL,Tecnológico,Privada,15424
UNIVERSIDADE ESTADUAL DE CAMPINAS,Bacharelado,Pública,14956
UNIVERSIDADE SANTO AMARO,Bacharelado,Privada,14174
UNIVERSIDADE DE FRANCA,Bacharelado,Privada,13461
UNIVERSIDADE CRUZEIRO DO SUL,Licenciatura,Privada,9416
UNIVERSIDADE DO OESTE PAULISTA,Bacharelado,Privada,9156
UNIVERSIDADE DE MOGI DAS CRUZES,Bacharelado,Privada,8393
Universidade Universus Veritas Guarulhos,Bacharelado,Privada,7244
UNIVERSIDADE ANHEMBI MORUMBI,Licenciatura,Privada,7152
UNIVERSIDADE DE SOROCABA,Bacharelado,Privada,6273
UNIVERSIDADE DE ARARAQUARA,Bacharelado,Privada,5980
UNIVERSIDADE BRASIL,Bacharelado,Privada,5605
UNIVERSIDADE DE FRANCA,Licenciatura,Privada,5040
ESCOLA SUPERIOR DE PROPAGANDA E MARKETING,Bacharelado,Privada,4554
UNIVERSIDADE DE FRANCA,Tecnológico,Privada,4172
UNIVERSIDADE METROPOLITANA DE SANTOS,Licenciatura,Privada,4032
UNIVERSIDADE SANTO AMARO,Tecnológico,Privada,3952
UNIVERSIDADE SANTO AMARO,Licenciatura,Privada,3941
UNIVERSIDADE ESTADUAL DE CAMPINAS,Licenciatura,Pública,3772
INSPER INSTITUTO DE ENSINO E PESQUISA,Bacharelado,Privada,3231
UNIVERSIDADE METROPOLITANA DE SANTOS,Bacharelado,Privada,3222
FACULDADE IMPACTA,Tecnológico,Privada,3113
FACULDADE DE AMERICANA,Bacharelado,Privada,2855
FACULDADE SANTA MARCELINA,Bacharelado,Privada,2791
UNIVERSIDADE PRESBITERIANA MACKENZIE,Tecnológico,Privada,2651
FACULDADE ESAMC SANTOS,Bacharelado,Privada,2356
FACULDADE ANHANGUERA DE GUARULHOS,Bacharelado,Privada,2311
Universidade Universus Veritas Guarulhos,Tecnológico,Privada,2187
FACULDADE DE TECNOLOGIA DE SOROCABA,Tecnológico,Pública,2139
FACULDADE DE TECNOLOGIA ZONA LESTE,Tecnológico,Pública,2010
FACULDADE DE TECNOLOGIA RUBENS LARA,Tecnológico,Pública,1943
FACULDADES INTEGRADAS DE BAURU,Bacharelado,Privada,1775
FACULDADES INTEGRADAS EINSTEIN DE LIMEIRA,Bacharelado,Privada,1760
FACULDADES OSWALDO CRUZ,Bacharelado,Privada,1758
FACULDADE DE TECONOLOGIA DA ZONA SUL,Tecnológico,Pública,1646
UNIVERSIDADE DE MOGI DAS CRUZES,Tecnológico,Privada,1618
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE ASSIS,Bacharelado,Pública,1568
FACULDADE NOVE DE JULHO DE OSASCO,Bacharelado,Privada,1553
FACULDADE ENGENHEIRO SALVADOR ARENA,Bacharelado,Privada,1513
FACULDADE DE DIREITO DE FRANCA,Bacharelado,Pública,1504
FACULDADE DE TECNOLOGIA DE PRAIA GRANDE,Tecnológico,Pública,1498
FACULDADES INTEGRADAS CAMPOS SALLES,Bacharelado,Privada,1485
Faculdade de Tecnologia de Carapicuiba,Tecnológico,Pública,1477
ESCOLA DE ENGENHARIA DE PIRACICABA,Bacharelado,Pública,1381
Faculdade de Tecnologia do Ipiranga,Tecnológico,Pública,1379
Faculdade de Tecnologia de Barueri,Tecnológico,Pública,1372
FACULDADE DE TECNOLOGIA DE OURINHOS,Tecnológico,Pública,1323
FACULDADE DE TECNOLOGIA DE INDAIATUBA,Tecnológico,Pública,1310
Faculdade de Tecnologia Dr. Thomaz Novelino,Tecnológico,Pública,1305
Faculdade de Tecnologia de Osasco - Prefeito Hirant Sanazar,Tecnológico,Pública,1290
UNIVERSIDADE METODISTA DE PIRACICABA,Bacharelado,Privada,1253
UNIVERSIDADE PRESBITERIANA MACKENZIE,Licenciatura,Privada,1222
Faculdade de Tecnologia de Mogi das Cruzes,Tecnológico,Pública,1187
Faculdade de Tecnologia de Itaquera,Tecnológico,Pública,1181
FACULDADE DE TECNOLOGIA DE TAQUARITINGA,Tecnológico,Pública,1163
UNIVERSIDADE NOVE DE JULHO,Não aplica,Privada,1160
FACULDADE ESAMC SOROCABA,Bacharelado,Privada,1157
